DR2.TC0449_OP.PV        OPARY Z RK4 - CONTROL OUTPUT
DR2.TC0449_OUT_MODE.PVOPARY Z RK4 - MODE_TAG
DR2.TC0449_PREACTIM.PVOPARY Z RK4 - D_TAG
DR2.TC0449_SP.PV        OPARY Z RK4 - SETPOINT
DR2.TC0449OUT.PV        WYLOT RK4 (OUT)
DR2.TC0449SP.PV          WYLOT RK4 (SP)
DR2.TC0481.PV              KUB K-8
DR2.TC0481_BS_GAIN.PVKUB K-8 - P_TAG
DR2.TC0481_BS_RESET.PVKUB K-8 - I_TAG
DR2.TC0481_OP.PV        KUB K-8 - CONTROL OUTPUT
DR2.TC0481_OUT_MODE.PVKUB K-8 - MODE_TAG
DR2.TC0481_PREACTIM.PVKUB K-8 - D_TAG
DR2.TC0481_SP.PV        KUB K-8 - SETPOINT
DR2.TC0481OUT.PV        ZAWOR PRZED RK-8
DR2.TC0481SP.PV          K-8 84 POLKA (SP)
DR2.TC0485OUT.PV        SYGNAL NA CHK-8
DR2.TC0485SP.PV          ZA CHK-8 (SP)
DR2.TC0514.PV               BYPAS PDS12 RURKI
DR2.TC0514_BS_GAIN.PV BYPAS PDS12 RURKI - P_TAG
DR2.TC0514_BS_RESET.PV BYPAS PDS12 RURKI - I_TAG
DR2.TC0514_OP.PV         BYPAS PDS12 RURKI - CONTROL OUTPUT
DR2.TC0514_OUT_MODE.PV BYPAS PDS12 RURKI - MODE_TAG
DR2.TC0514_PREACTIM.PV BYPAS PDS12 RURKI - D_TAG
DR2.TC0514_SP.PV         BYPAS PDS12 RURKI - SETPOINT
DR2.TC0592.PV               PDS-22
DR2.TC0592_BS_GAIN.PV PDS-22 - P_TAG
DR2.TC0592_BS_RESET.PV PDS-22 - I_TAG
DR2.TC0592_OP.PV         PDS-22 - CONTROL OUTPUT
DR2.TC0592_OUT_MODE.PV PDS-22 - MODE_TAG
DR2.TC0592_PREACTIM.PV PDS-22 - D_TAG
DR2.TC0592_SP.PV         PDS-22 - SETPOINT
DR2.TC0624.PV              OOP Z PD-1 DO PC
DR2.TC0624_BS_GAIN.PVOOP Z PD-1 DO PC - P_TAG
DR2.TC0624_BS_RESET.PVOOP Z PD-1 DO PC - I_TAG
DR2.TC0624_OP.PV        OOP Z PD-1 DO PC - CONTROL OUTPUT
DR2.TC0624_OUT_MODE.PVOOP Z PD-1 DO PC - MODE_TAG
DR2.TC0624_PREACTIM.PVOOP Z PD-1 DO PC - D_TAG
DR2.TC0624_SP.PV        OOP Z PD-1 DO PC - SETPOINT
DR2.TC0639.PV              WODA GOSP
DR2.TC0639_BS_GAIN.PVWODA GOSP - P_TAG
DR2.TC0639_BS_RESET.PVWODA GOSP - I_TAG
DR2.TC0639_OP.PV        WODA GOSP - CONTROL OUTPUT
DR2.TC0639_OUT_MODE.PVWODA GOSP - MODE_TAG
DR2.TC0639_PREACTIM.PVWODA GOSP - D_TAG
DR2.TC0639_SP.PV        WODA GOSP - SETPOINT
DR2.TC4150.PV              REG.TEMP.SKOMPENS
DR2.TC4150_BS_GAIN.PVREG.TEMP.SKOMPENS - P_TAG
DR2.TC4150_BS_RESET.PVREG.TEMP.SKOMPENS - I_TAG
DR2.TC4150_OP.PV        REG.TEMP.SKOMPENS - CONTROL OUTPUT
DR2.TC4150_OUT_MODE.PVREG.TEMP.SKOMPENS - MODE_TAG
DR2.TC4150_PREACTIM.PVREG.TEMP.SKOMPENS - D_TAG
DR2.TC4150_SP.PV        REG.TEMP.SKOMPENS - SETPOINT
DR2.TC9235.PV              PC-1 WYLOT APC
DR2.TC9235_OP.PV        PC-1 WYLOT APC
DR2.TC9235_SP.PV        PC-1 WYLOT APC
DR2.FI0050.PV              WSAD EH-1A
DR2.FI0056.PV              PARA TURB. PC-2 I STR
DR2.FI0057.PV              PARA TURB. PC-2 II STR
DR2.FI0058.PV              PARA TURB. PC-2 III STR
DR2.FI0059.PV              PARA TURB. PC-2 IV STR
DR2.FI0060.PV              WSAD EH-1B
DR2.FI0170.PV              GSU Z Z-1
DR2.FI0444.PV              GSU Z Z-3
DR2.FI0503.PV              WZM.DO K-6
DR2.FI0504.PV              GAZ ZRZ.DO PC-1
DR2.FI0505.PV              LUG CYRK.D
DR2.FI0506.PV              LUG CYRK.D
DR2.FI0513.PV              OOP DO PC-1
DR2.FI0515.PV              PC-1 OLEJ OP. POWROT
DR2.FI0527.PV              SOLANKA KAN
DR2.FI0530.PV              PARA Z SP1
DR2.FI0549.PV              OOP DO PC-2
DR2.FI0564.PV              OOP Z PC-2
DR2.FI0581.PV              WODA DO EH1
DR2.FI0582.PV              WODA DO EH1
DR2.FI0599.PV               PWS EK31/32
DR2.FI0600.PV               PWS EK51/52
DR2.FC0002.PV              ROPA AR.
DR2.FC0002_BS_GAIN.PVROPA AR. - P_TAG
DR2.FC0002_BS_RESET.PVROPA AR. - I_TAG
DR2.FC0002_OP.PV        ROPA AR. - CONTROL OUTPUT
DR2.FC0002_OUT_MODE.PVROPA AR. - MODE_TAG
DR2.FC0002_PREACTIM.PVROPA AR. - D_TAG
DR2.FC0002_SP.PV        ROPA AR. - SETPOINT
DR2.FC0003.PV              A10 Z DRW-1
DR2.FC0003_BS_GAIN.PVA10 Z DRW-1 - P_TAG
DR2.FC0003_BS_RESET.PVA10 Z DRW-1 - I_TAG
DR2.FC0003_OP.PV        A10 Z DRW-1 - CONTROL OUTPUT
DR2.FC0003_OUT_MODE.PVA10 Z DRW-1 - MODE_TAG
DR2.FC0003_PREACTIM.PVA10 Z DRW-1 - D_TAG
DR2.FC0003_SP.PV        A10 Z DRW-1 - SETPOINT
DR2.FC0010.PV              1 STR. ROPA SUROWA
DR2.FC0010_BS_GAIN.PV1 STR. ROPA SUROWA - P_TAG
DR2.FC0010_BS_RESET.PV1 STR. ROPA SUROWA - I_TAG
DR2.FC0010_OP.PV        1 STR. ROPA SUROWA - CONTROL OUTPUT
DR2.FC0010_OUT_MODE.PV1 STR. ROPA SUROWA - MODE_TAG
DR2.FC0010_PREACTIM.PV1 STR. ROPA SUROWA - D_TAG
DR2.FC0010_SP.PV        1 STR. ROPA SUROWA - SETPOINT
DR2.FC0010SP.PV          1 STR. ROPA SUROWA (SP)
DR2.FC0020.PV              2 STR. ROPA SUROWA
DR2.FC0020_BS_GAIN.PV2 STR. ROPA SUROWA - P_TAG
DR2.FC0020_BS_RESET.PV2 STR. ROPA SUROWA - I_TAG
DR2.FC0020_OP.PV        2 STR. ROPA SUROWA - CONTROL OUTPUT
DR2.FC0020_OUT_MODE.PV2 STR. ROPA SUROWA - MODE_TAG
DR2.FC0020_PREACTIM.PV2 STR. ROPA SUROWA - D_TAG
DR2.FC0020_SP.PV        2 STR. ROPA SUROWA - SETPOINT
DR2.FC0020SP.PV          2 STR. ROPA SUROWA (SP)
DR2.FC0101.PV              1 STR. ROPA ODSOLONA
DR2.FC0101_BS_GAIN.PV1 STR. ROPA ODSOLONA - P_TAG
DR2.FC0101_BS_RESET.PV1 STR. ROPA ODSOLONA - I_TAG
DR2.FC0101_OP.PV        1 STR. ROPA ODSOLONA - CONTROL OUTPUT
DR2.FC0101_OUT_MODE.PV1 STR. ROPA ODSOLONA - MODE_TAG
DR2.FC0101_PREACTIM.PV1 STR. ROPA ODSOLONA - D_TAG
DR2.FC0101_SP.PV        1 STR. ROPA ODSOLONA - SETPOINT
DR2.FC0101R.PV            DESALTED CRUDE 1ST TRAIN
DR2.FC0101SP.PV          1 STR. ROPA ODSOLONA (SP
DR2.FC0102.PV              2 STR. ROPA ODSOLONA
DR2.FC0102_BS_GAIN.PV2 STR. ROPA ODSOLONA - P_TAG
DR2.FC0102_BS_RESET.PV2 STR. ROPA ODSOLONA - I_TAG
DR2.FC0102_OP.PV        2 STR. ROPA ODSOLONA - CONTROL OUTPUT
DR2.FC0102_OUT_MODE.PV2 STR. ROPA ODSOLONA - MODE_TAG
DR2.FC0102_PREACTIM.PV2 STR. ROPA ODSOLONA - D_TAG
DR2.FC0102_SP.PV        2 STR. ROPA ODSOLONA - SETPOINT
DR2.FC0102R.PV            DESALTED CRUDE 2ND TRAIN
DR2.FC0102SP.PV          2 STR. ROPA ODSOLONA (SP
DR2.FC0121.PV              P21 LEPK.PRZEPLYW!!!
DR2.FC0121_BS_GAIN.PVP21 LEPK.PRZEPLYW!!! - P_TAG
DR2.FC0121_BS_RESET.PVP21 LEPK.PRZEPLYW!!! - I_TAG
DR2.FC0121_OP.PV        P21 LEPK.PRZEPLYW!!! - CONTROL OUTPUT
DR2.FC0121_OUT_MODE.PVP21 LEPK.PRZEPLYW!!! - MODE_TAG
DR2.FC0121_PREACTIM.PVP21 LEPK.PRZEPLYW!!! - D_TAG
DR2.FC0121_SP.PV        P21 LEPK.PRZEPLYW!!! - SETPOINT
DR2.FC0122.PV              P22 LEPK.PRZEPLYW!!!
DR2.FC0122_BS_GAIN.PVP22 LEPK.PRZEPLYW!!! - P_TAG
DR2.FC0122_BS_RESET.PVP22 LEPK.PRZEPLYW!!! - I_TAG
DR2.FC0122_OP.PV        P22 LEPK.PRZEPLYW!!! - CONTROL OUTPUT
DR2.FC0122_OUT_MODE.PVP22 LEPK.PRZEPLYW!!! - MODE_TAG
DR2.FC0122_PREACTIM.PVP22 LEPK.PRZEPLYW!!! - D_TAG
DR2.FC0122_SP.PV        P22 LEPK.PRZEPLYW!!! - SETPOINT
DR2.FC0123.PV              P23 LEPK.PRZEPLYW!!!
